4020.8s 271 Applying LS move: opt=oropt_single, delta=-13.9956, current_len=4
4020.8s 272 Applying LS move: opt=2exchange, delta=-13.3711, current_len=4
4020.8s 273 Applying LS move: opt=oropt_single, delta=-11.9852, current_len=4
4020.8s 274 Applying LS move: opt=2exchange, delta=-9.6483, current_len=4
4020.8s 275 Applying LS move: opt=oropt_single, delta=-9.4303, current_len=4
4020.8s 276 Applying LS move: opt=2opt*, delta=-23.9279, current_len=4
4020.8s 277 Applying LS move: opt=oropt_single, delta=-9.7845, current_len=4
4020.8s 278 Applying LS move: opt=oropt_single, delta=-9.1321, current_len=4
4020.8s 279 Applying LS move: opt=2opt, delta=-9.1912, current_len=4
4020.8s 280 Applying LS move: opt=2opt*, delta=-8.6001, current_len=4
4020.8s 281 Applying LS move: opt=2opt*, delta=-12.7723, current_len=4
4020.8s 282 Applying LS move: opt=oropt_single, delta=-11.2360, current_len=4
4020.8s 283 Applying LS move: opt=oropt_single, delta=-8.1206, current_len=4
4020.8s 284 Applying LS move: opt=oropt_single, delta=-7.0521, current_len=4
4020.8s 285 Applying LS move: opt=2opt*, delta=-6.3280, current_len=4
4020.8s 286 Applying LS move: opt=2exchange, delta=-19.3138, current_len=4
4020.8s 287 Applying LS move: opt=2opt, delta=-5.3209, current_len=4
4020.8s 288 Applying LS move: opt=2opt*, delta=-5.1103, current_len=4
4020.8s 289 Applying LS move: opt=oropt_single, delta=-4.9673, current_len=4
4020.8s 290 Applying LS move: opt=2opt, delta=-7.1235, current_len=4
4020.8s 291 Applying LS move: opt=oropt_single, delta=-3.1924, current_len=4
4020.8s 292 Applying LS move: opt=2exchange, delta=-2.3735, current_len=4
4020.8s 293 Applying LS move: opt=2opt, delta=-5.7351, current_len=4
4020.8s 294 Applying LS move: opt=2exchange, delta=-4.7800, current_len=4
4020.8s 295 Applying LS move: opt=oropt_single, delta=-3.8850, current_len=4
4020.8s 296 Applying LS move: opt=2opt*, delta=-2.3239, current_len=4
4020.8s 297 Applying LS move: opt=oropt_single, delta=-7.4164, current_len=4
4020.9s 298 Applying LS move: opt=oropt_single, delta=-6.2208, current_len=4
